latitude|longitude|name
47.666931|12.9497|Winkl, bayern, germany
48.917194|11.407995|Putzmühle HRB, bayern, germany
48.917194|11.407995|Putzmühle HRB Abflauf, bayern, germany
48.267425|10.98666|Mering, bayern, germany
48.382923|11.047327|Dasing, bayern, germany
48.458043|11.13031|Aichach, bayern, germany
48.570648|11.28308|Mühlried, bayern, germany
48.716873|11.495165|Manching (Ort), bayern, germany
48.917194|11.407995|Manching Bahnbrücke, bayern, germany
50.123699|12.1354|Blumenthal, bayern, germany
49.409168|11.16765|Altenfurt, bayern, germany
48.582432|11.090749|Pöttmes, bayern, germany
48.716665|11.320895|Weichering, bayern, germany
48.712002|11.45609|Oberstimm, bayern, germany
48.64122|11.78004|Mainburg, bayern, germany
48.557629|12.58526|Aunkofen, bayern, germany
48.43161|11.37798|Thalmannsdorf, bayern, germany
48.529861|11.5063|Pfaffenhofen, bayern, germany
48.684676|11.612208|Geisenfeld, bayern, germany
48.603629|11.627303|Wolnzach, bayern, germany
48.613468|11.60923|Gosseltshausen, bayern, germany
49.383888|10.37082|Binzwangen, bayern, germany
48.266102|12.04236|Thann, bayern, germany
48.917194|11.407995|Ornbau Wehr Oberwasser, bayern, germany
49.152382|10.72342|Muhr, bayern, germany
49.115393|10.753562|Gunzenhausen, bayern, germany
48.917194|11.407995|Muhr Seepegel, bayern, germany
49.097359|10.74716|Aha, bayern, germany
48.955325|10.908531|Treuchtlingen, bayern, germany
48.890609|11.184313|Eichstätt, bayern, germany
48.917194|11.407995|Kinding KA, bayern, germany
47.732015|12.5952|Beilngries oberh. der Sulz, bayern, germany
49.157965|10.55299|Bechhofen, bayern, germany
49.107208|10.73031|Unterwurmbach, bayern, germany
48.90654|11.36608|Schambach, bayern, germany
49.02985|11.3672|Mettendorf, bayern, germany
48.992001|11.36487|Enkering, bayern, germany
47.809059|12.65221|Holnstein, bayern, germany
49.162013|11.716214|Parsberg, bayern, germany
49.03631|11.907025|Deuerling, bayern, germany
47.460152|10.27281|Fischen, bayern, germany
47.512563|10.283007|Sonthofen, bayern, germany
47.543104|10.258195|Blaichach, bayern, germany
48.917194|11.407995|Immenstadt Zollbrücke, bayern, germany
48.917194|11.407995|Weidachwiesen Steuerpegel Q, bayern, germany
48.917194|11.407995|Weidachwiesen Binnenpolder W, bayern, germany
48.917194|11.407995|Weidachwiesen Hauptpolder W, bayern, germany
48.58786|11.91454|Martinszell, bayern, germany
47.724251|10.31516|Kempten, bayern, germany
48.917194|11.407995|Aitrach KW, bayern, germany
48.017841|10.13788|Egelsee, bayern, germany
48.917194|11.407995|Wiblingen, bayern, germany
47.333801|10.26611|Birgsau, bayern, germany
47.411324|10.277371|Oberstdorf, bayern, germany
47.411324|10.277371|Oberstdorf, bayern, germany
47.643421|12.97269|Gruben, bayern, germany
49.437642|12.583596|Tiefenbach, bayern, germany
47.461578|10.29373|Schöllang, bayern, germany
49.494801|11.501|Reckenberg, bayern, germany
47.528801|10.2972|Winkel, bayern, germany
47.522251|10.22908|Gunzesried, bayern, germany
47.552502|10.09004|Thalkirchdorf, bayern, germany
47.568249|10.19132|Bühl, bayern, germany
47.561588|10.21881|Immenstadt, bayern, germany
47.555309|9.9711|Gschwend, bayern, germany
48.917194|11.407995|Rottachsee, bayern, germany
48.917194|11.407995|Greifenmühle, bayern, germany
47.698161|10.342993|Durach, bayern, germany
47.769428|10.34114|Stielings, bayern, germany
47.778541|10.296114|Lauben, bayern, germany
48.87432|12.843295|Aichstetten, bayern, germany
48.235451|10.22674|Friesenhofen, bayern, germany
48.04074|10.153631|Heimertingen, bayern, germany
48.344742|10.03405|Gerlenhofen, bayern, germany
49.246799|11.090851|Roth, bayern, germany
47.778541|10.296114|Lauben, bayern, germany
48.233479|10.31636|Nattenhausen, bayern, germany
48.347985|10.292661|Waldstetten, bayern, germany
48.917194|11.407995|Dirlewang HRB Abfluss, bayern, germany
48.183762|10.42221|Hasberg, bayern, germany
48.183762|10.42221|Hasberg, bayern, germany
48.478323|10.363212|Offingen, bayern, germany
48.121471|10.53937|Zaisertshofen, bayern, germany
48.45282|10.37496|Remshart, bayern, germany
48.547691|10.31231|Bächingen, bayern, germany
48.619239|10.415219|Wittislingen, bayern, germany
48.990601|11.30155|Erlingshofen, bayern, germany
49.183185|12.34631|Reichenbach, bayern, germany
49.053631|10.509145|Gerolfingen, bayern, germany
48.809471|10.64454|Heroldingen, bayern, germany
48.78548|10.69144|Harburg, bayern, germany
49.227249|10.31813|Rödenweiler, bayern, germany
48.917194|11.407995|Hahnenkammsee, bayern, germany
48.917194|11.407995|Bopfingen, bayern, germany
48.811852|10.60371|Lierheim, bayern, germany
48.36068|10.56865|Fleinhausen, bayern, germany
48.529861|11.5063|Pfaffenhofen, bayern, germany
48.29048|10.655609|Fischach, bayern, germany
48.481209|10.81711|Achsheim, bayern, germany
48.631618|10.81694|Druisheim, bayern, germany
48.45784|12.11646|Lech, bayern, germany
48.305439|12.26704|Steeg, bayern, germany
47.794926|12.533549|Vorderhornbach, bayern, germany
48.917194|11.407995|Lechaschau, bayern, germany
47.56939|10.698997|Füssen, bayern, germany
47.56939|10.698997|Füssen_K, bayern, germany
48.917194|11.407995|Forggensee Werkszufluss, bayern, germany
48.917194|11.407995|Roßhaupten Seepegel, bayern, germany
48.917194|11.407995|Forggensee Werksabfluss, bayern, germany
47.696838|10.79631|Lechbruck, bayern, germany
48.917194|11.407995|Urspring KW, bayern, germany
48.917194|11.407995|Dornau KW, bayern, germany
48.917194|11.407995|Landsberg OW, bayern, germany
48.917194|11.407995|Landsberg KW, bayern, germany
48.049541|10.87658|Landsberg, bayern, germany
48.917194|11.407995|Merching KW, bayern, germany
48.297298|10.91549|Haunstetten, bayern, germany
48.917194|11.407995|Augsburg u. d. Wertachmündung, bayern, germany
50.08911|9.143986|Augsburg A8-Brücke, bayern, germany
48.45784|12.11646|Lech, bayern, germany
47.794926|12.533549|Vorderhornbach, bayern, germany
47.583302|10.55|Pfronten Ried, bayern, germany
48.362202|12.24422|Vils, bayern, germany
48.917194|11.407995|Vilsen, bayern, germany
48.750861|12.961006|Moos, bayern, germany
47.70462|10.20131|Eschach, bayern, germany
48.629798|11.309575|Brunnen, bayern, germany
47.643421|10.82781|Trauchgau, bayern, germany
47.643421|10.82781|Trauchgau, bayern, germany
47.62364|9.89454|Engen, bayern, germany
47.602424|10.412055|Wertach, bayern, germany
48.917194|11.407995|Sebastianskapelle, bayern, germany
